Num used,Refs,Value,DigiKey P/N,Mouser P/N
2,"SW1,SW2",,MC74VHC1G66DFT1GOSCT-ND,863-MC74VHC1G66DFT1G
1,AMP,,497-12414-1-ND,511-TSV912IQ2T
1,CMP,,TC75W57FKTE85LFCT-ND,757-TC75W57FKTE85LF
2,"C8,C9",220pF,490-1435-1-ND,77-VJ0603A221GXAPBC
2,"R6,R7",8.2K,541-8.20KHCT-ND,71-CRCW0603-8.2K-E3
5,"R3,R4,R5,R8,R9",10K,541-10.0KHCT-ND,71-CRCW0603-10K-E3
2,"C1,C7",10nF,GCM188R71E103KA37D-ND,77-VJ0603Y103JXXCBC
1,U1,,768-1157-ND,895-FT240XQ-T
2,"C3,C6",0.1uF,490-1524-1-ND,77-VJ0603Y104JXXAC
1,L1,,1276-6355-1-ND,810-MPZ1608S601A
1,C2,4.7uF,490-3302-1-ND,603-CC603ZRY5V6BB475
2,"C4,C5",47pF,490-1419-1-ND,77-VJ0603A470JXACBC 
2,"R1,R2",27 Ohms,541-27.0HCT-ND,71-CRCW0603-27-E3
