Comment,Designator,Footprint,LCSC,Quantity
27 Ω,R2,R_0603_1608Metric,,1
47 pF,C5,C_0603_1608Metric,,1
10 kΩ,R4,R_0603_1608Metric,,1
27 Ω,R1,R_0603_1608Metric,,1
10 kΩ,R5,R_0603_1608Metric,,1
47 pF,C4,C_0603_1608Metric,,1
220 pF,C8,C_0603_1608Metric,,1
NS5B1G385DFT2G,SW2,SOT-353_SC-70-5,,1
0.01 µF,C7,C_0603_1608Metric,,1
0.01 µF,C1,C_0603_1608Metric,,1
TSV912IQ2T,AMP1,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,,1
FT240XQ,USB1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,1
10 kΩ,R3,R_0603_1608Metric,,1
220 pF,C9,C_0603_1608Metric,,1
0.1 µF,C3,C_0603_1608Metric,,1
10 kΩ,R9,R_0603_1608Metric,,1
0.1 µF,C6,C_0603_1608Metric,,1
NS5B1G385DFT2G,SW1,SOT-353_SC-70-5,,1
TC75W57FKTE85LF,COMP1,VSSOP-8_2.3x2mm_P0.5mm,,1
BLM18AG601SN1D,L1,L_0603_1608Metric,,1
4.7 µF,C2,C_0603_1608Metric,,1
10 kΩ,R8,R_0603_1608Metric,,1
8.2 kΩ,R6,R_0603_1608Metric,,1
8.2 kΩ,R7,R_0603_1608Metric,,1
