Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AMP1,TSV912IQ2T,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,30.0988,-6.0198,90.0,top
C1,0.01 µF,C_0603_1608Metric,14.6488,-10.3948,90.0,top
C2,4.7 µF,C_0603_1608Metric,18.8488,-11.2698,0.0,top
C3,0.1 µF,C_0603_1608Metric,18.8488,-9.292,0.0,top
C4,47 pF,C_0603_1608Metric,12.2238,-2.5198,0.0,top
C5,47 pF,C_0603_1608Metric,12.2238,-9.5198,0.0,top
C6,0.1 µF,C_0603_1608Metric,16.8488,-2.6714,180.0,top
C7,0.01 µF,C_0603_1608Metric,21.3488,-6.0198,90.0,top
C8,220 pF,C_0603_1608Metric,23.3488,-6.0198,90.0,top
C9,220 pF,C_0603_1608Metric,32.5988,-6.0198,90.0,top
COMP1,TC75W57FKTE85LF,VSSOP-8_2.3x2mm_P0.5mm,26.0988,-6.0198,90.0,top
L1,BLM18AG601SN1D,L_0603_1608Metric,16.4238,-10.3948,90.0,top
R1,27 Ω,R_0603_1608Metric,12.2238,-5.0198,0.0,top
R2,27 Ω,R_0603_1608Metric,12.2238,-7.0198,0.0,top
R3,10 kΩ,R_0603_1608Metric,21.3488,-9.7698,90.0,top
R4,10 kΩ,R_0603_1608Metric,21.3488,-2.2698,90.0,top
R5,10 kΩ,R_0603_1608Metric,23.3488,-9.7698,-90.0,top
R6,8.2 kΩ,R_0603_1608Metric,23.3488,-2.2698,90.0,top
R7,8.2 kΩ,R_0603_1608Metric,32.5988,-2.2698,-90.0,top
R8,10 kΩ,R_0603_1608Metric,32.5988,-9.7698,-90.0,top
R9,10 kΩ,R_0603_1608Metric,16.8488,-0.8968,180.0,top
SW1,NS5B1G385DFT2G,SOT-353_SC-70-5,27.8488,-2.5198,180.0,top
SW2,NS5B1G385DFT2G,SOT-353_SC-70-5,27.8488,-9.5198,180.0,top
USB1,FT240XQ,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,16.8488,-6.096,-90.0,top
